id	text	cat
66	And glowed both roof and floor ; 	b
67	And not one of all my lays 	b
68	1 Ice has barred the Arctic waters, 	b
69	The future fills me with dismay ; 	b
70	Felt, but unseen, the damp dewdrops fall. 	b
71	From those eternal waves that surge below. 	b
72	Rattled against an old vault's rail. 	b
73	When that grim concave frowned above, 	b
74	A thoughtful spirit taught me soon, 	b
75	There if he can to die alone ? ' 	b
76	When it has worn through many a week 	b
77	Because thy soul is clear ; 	b
78	For ever triumphing : 	b
79	Too truly agonised to weep, 	b
80	Through wind and ocean's roar, 	b
81	The face, all deadly fair, 	b
82	Winds take a pensive tone, and stars a tender fire, 	b
83	AH ! why, because the dazzling sun 	b
84	But voiceless silence everywhere. 	b
85	December's sullen time ! 	b
86	Hope soothes me in the griefs I know ; 	b
87	Can rob us of the past. 	b
88	That now I cannot feel ! 	b
89	That Death he took a certain aim, 	b
90	The grave is drear, but they are not there : 	b
91	Away, away, resign thee now 	b
92	How every drift in their glens profound 	b
93	Or bless not me with heaven ! * 	b
94	There is no need of other sound 	b
95	Of youth's delight, when youth is past, 	b
96	Day by day some dreary token 	b
97	But hope is dead for him. 	b
98	She scarcely feels the flow ; 	b
99	Faltering, faint, and ready to die. 	b
100	Begins another voyage nay, they 're gone ; 	b
101	1 see them foaming high ; 	b
102	Before their hearts went wandering wrong, 	b
103	From tracking farther day by day, 	b
104	Day breathes such beauty over earth and sky, 	b
105	Raised on my pillow, to descry 	b
106	And, in the red fire's cheerful glow, 	b
107	And Lord Eldred glancing round, 	b
108	And thou false friend and treacherous guide 	b
109	And never radiant bow could be 	b
110	Drinks tears, instead of dew ; 	b
111	A winter sunset in the west 	b
112	A faithless heart to thee ? 	b
113	And let Thy holy Spirit shine 	b
114	Darken that triumphant eye ! 	b
115	Blood-red, he rose, and, arrow-straight, 	b
116	Where tears and mourning cannot come. 	b
117	That wander down to drink the tide. 	b
118	Enough if storms have bowed his head, 	b
119	Even Memory's voice grew dim ; 	b
120	For round their hearths they'll tell this 	b
121	Yet, loved one, it must be : 	b
122	More drear I cannot be ! 	b
123	Those sad relics scattered round ; 	b
124	The giant sons of Anakim 	b
125	Sweet, how softly sweet it came 	b
126	And all around his youthful brow 	b
127	With alien breezes sadly blent. 	b
128	All her cherished hopes should wane, 	b
129	SWART steed of night, thou hast charged thy last 	b
130	Its face is fair divinely fair ; 	b
131	It will not, cannot rise ; 	b
132	But if that night bring only sleep, 	b
133	Deep in unknown eternity ; 	b
134	How could I seek the empty world again ? 	b
135	My eyes are full of tears, 	b
136	No later light has lightened up my heaven, 	b
137	Where evening closes dark and chill ; 	b
138	The soul to feel the flesh, and the flesh to feel the 	b
139	Concludes thy musing once again ? 	b
140	' O DAY ! he cannot die 	b
141	To breathe its bliss on me ; 	b
142	Through this false world, their all had 	b
143	The stream in silence sang once more 	b
144	And woke her with a sudden song ; 	b
145	Roderic, for thee shall never rise ! 	b
146	With my consoling tear? 	b
147	To the enduring seas 	b
148	THE ABSENT ONE 	b
149	O then another daybreak 	b
150	And grew in another bed ; 	b
151	1 Oh, for the time when I shall sleep 	b
152	DREAM, where art thou now ? 	b
153	Such tears as I weep it is not so ! 	b
154	And voiceless, soulless, messenger, 	b
155	O gallant horse, hold on thy course ; 	b
156	But still they gave no certain token 	b
157	The captive raised her face ; it was as soft and 	b
158	To the deadliest press of the gathering fight 	b
159	Though not because my heart is tame, 	b
160	' And why should we be glad at all ? 	b
161	Oh, for the day, when I shall rest, 	b
162	Weaned my young soul from yearning after thine ; 	b
163	1 And thou art gone with all thy pride ; 	b
164	They were clothed in savage attire ; 	b
165	For the woe I could not bear 	b
166	Than other love, more true? 	b
167	Must always fade, and always cloy : 	b
168	One long look, that sore reproved me 	b
169	I am thinking of my latest shock, 	b
170	For now might Faith decay. 	b
171	Sit beneath the ancient thorn. 	b
172	And morning's beams will rise as drear. 	b
173	Their happy souls are gone to God I 	b
174	Buried in a hapless tomb. 	b
175	Clouded, even as they would weep. 	b
176	And, while the wide earth echoing rung 	b
177	I ne'er had raised this coward cry 	b
178	To leave our children slaves ! 	b
179	She heard the river's restless wave 	b
180	The vast crowds vanished every one ; 	b
181	And 'mid flowery, smiling plains ; 	b
182	That we may overflow the sky 	b
183	I shall smile when wreaths of snow 	b
184	Till the tufted leaves of the garden bower 	b
185	But not of wail for men ! 	b
186	Ah ! no : with louder sound 	b
187	Gone by as if they 'd never been ; 	b
188	No ; turn towards the western side. 	b
189	Or unreal phantoms of distress ! 	b
190	Her spirit is the unfathomed lake 	b
191	Adoring virtue's distant star. 	b
192	ON a sunny brae alone I lay 	b
193	Wrought up in rain and wailing wind : 	b
194	Youthful he seemed but worn as they 	b
195	THE evening sun was sinking down 	b
196	Exhausted with repinings vain, 	b
197	The grass-grown grave, did lie, 	b
198	Daughter divine ! and could his gaze 	b
199	Where will these bright things be ? 	b
200	The grand remains of ancient state. 	b
201	And, all for listening, never sleep. 	b
202	In all His works displayed. 	b
203	To greet the general glow. 	b
204	With a wild and passing thrill, 	b
205	Are shadowed by her hand at last 	b
206	grant thy prayer ? 	b
207	To wander through the snow. 	b
208	Nor ever let my spirit tire, 	b
209	And while on that reflected face 	b
210	And cold suspicion never rise ; 	b
211	Where thou, and I, and Liberty, 	b
212	Burned within the avenging flame : 	b
213	It is but thought full many a night 	b
214	For them a thousand hopes remain, 	b
215	The evening comes before the noon, 	b
216	With heart as summer sunshine light 	b
217	A wanderer o'er the Atlantic main ; 	b
218	Till sorrow's source were dry, 	b
219	Could that sacrifice have purchased 	b
220	Its green boughs in the breezy sky. 	b
221	And cheek almost as white as death, 	b
222	Was it with the fields of green, 	b
223	Have long forgot their vow ; 	b
224	The flowers of Fancy, newly-blown : 	b
225	The starry halls of Elrington 	b
226	This glorious vision of a grove, 	b
227	New glories o'er the blighted spring, 	b
228	Wild the road, and rough and dreary ; 	b
229	And yet there is or seems at least to be 	b
230	1 Our guests are darkly lodged,' I whisper'd, gazing 	b
231	And only wake with you ! 	b
232	Bowed lowest at thy shrine, 	b
233	The little glittering spirits sung, 	b
234	And every vision of old Afric's shore 	b
235	And my remorse shall die. 	b
236	And sweeter hope, when hope despairs ! 	b
237	When the wearied host of the conqueror lies 	b
238	And the purple violet sweet ; 	b
239	This day on Elmor Hill ! ! ! ' 	b
240	While heaven and earth are whispering me, 	b
241	His own creation's dread despair ! 	b
242	King Julius lifts his impious eye 	b
243	Round her returning sight appear 	b
244	In English fields my limbs were laid, 	b
245	I dreamt one dark and stormy night 	b
246	The spirit sent his dazzling gaze 	b
247	It gathers up thoughts akin to madness, 	b
248	My heart's blood flows to buy the blessing to 	b
249	I was at peace, and drank your beams 	b
250	Might fill with sympathy. 	b
251	To twilight's shade forlorn ? 	b
252	What made her weep, what made her glide 	b
253	A wider sound than mountain wind 	b
254	Yet still steeped in memory's dyes 	b
255	Above me, in that stormless sea, 	b
256	I long to hope that all the woe 	b
257	In summer's pride imbue 	b
258	Then I shall rest, while thou wilt weep. 	b
259	Yet ever in my grateful breast 	b
260	Where thick the leaves are dancing, 	b
261	It was thus I said as her graceful head 	b
262	My mortal flesh you might debar, 	b
263	They gain the rock's steep wall. 	b
264	Ye earthly cares begone ! 	b
265	Or Virtue crouched to Infamy ; 	b
266	For I Ve been consecrate to grief 	b
267	Some were dazzling like the sun ; 	b
268	That struggles in thy breast 	b
269	A murmuring round the wall. 	b
270	My downy couch with silk was hung. 	b
271	And helpless Reason warn in vain ; 	b
272	Glides through the maze of pleasure wild. 	b
273	And Peace, the lethargy of Grief ; 	b
274	And Hope, a phantom of the soul ; 	b
275	He ever held in his arms. 	b
276	LADYBIRD ! ladybird ! fly away home, 	b
277	And trembling yet to hear his name, 	b
278	While nightly stars are burning, 	b
279	While evening pours its silent dew, 	b
280	And will not heaven itself bestow 	b
281	I trust not to thy phantom bliss, 	b
282	'My master's voice is low, his aspect bland and 	b
283	Yet the faint wind comes soothingly 	b
284	Round walls where only you are vigil keeping? 	b
285	To-morrow both shall soar away, 	b
286	Winds sigh as you are sighing, 	b
287	Entreating, till his eyes o'erflowed, 	b
288	Gaze on the wretch recall to mind 	b
289	My spirit should startle their rest and tell, 	b
290	Since misery was such misery. 	b
291	To dungeons where a prisoner lies? 	b
292	PLEAD FOR ME 	b
293	STILL beside that dreary water 	b
294	And now the twilight calm and sweet 	b
295	They stood by mute and pale ; 	b
296	Restored into the Deity.' 	b
297	And tell why I have chosen thee ! 	b
298	A prayer that would come forth altho' it lingered 	b
299	And twenty years of tyrant pride 	b
300	O'er all the crossing thoughts that overflowed. 	b
301	No, radiant angel, speak and say 	b
302	And it sprung and flourished ; 	b
303	Thou bear'st the dim tie of ceaseless dreams, 	b
304	The earth shone round with a long-lost charm : 	b
305	For Thine own sake, be Thou its guide, 	b
306	It had gathered beauty from sunshine and shower, 	b
307	BETWEEN distress and pleasure 	b
308	Glance from her eyes, with mimic rays, 	b
309	The moor-lark in the air, 	b
310	And saw my offerings on their shrine ; 	b
311	I thought that Gabriel's self had come 	b
312	Weighed beneath a mortal sleep ; 	b
313	So, with a ready heart, I swore 	b
314	To seek their altar-stone no more ; 	b
315	His soul has felt the storm below, 	b
316	Behold him 1 	b
317	And set my spirit free ? 	b
318	He must have once been beautiful, 	b
319	Because we dare not stay to gain 	b
320	Like vultures round their prey. 	b
321	A weak and helpless prey ! 	b
322	How loud the storm sounds round the hall ! 	b
323	My darling pain that wounds and sears, 	b
324	Rude the couch that rests us weary ; 	b
325	Rested from the battle's roar ; 	b
326	As she would seek repose ; 	b
327	Mine eye to meet her eye ; 	b
328	And am I wrong to worship where 	b
329	wind that blows ; 	b
330	Of heavy rain or tempest near. 	b
331	Would part and sunlight shone between, 	b
332	And tell why I have chosen thee ! 	b
333	* THE evening passes fast away, 	b
334	Lips, that did breathe no murmuring 	b
335	The wild birds raise their brood ; 	b
336	What feelings in thy breast?' 	b
337	One moment, ere I go 	b
338	Of labour hardly done ; 	b
339	A thousand thousand silvery lyres 	b
340	But this world's life has much to dread, 	b
341	What shadow is it 	b
342	Bliss like thine is bought by years 	b
343	'Tis sweet to wander here at night, 	b
344	I 'M happiest now when most away 	b
345	One gleam of her heaven-bright face to see. 	b
346	And Time should Fate condemn ; 	b
347	Which coming death denied ; 	b
348	* Then art thou glad to seek repose ? 	b
349	The bee among the heather bells 	b
350	AND first an hour of mournful musing, 	b
351	And earth looks back so dazzling bright 	b
352	As the dear friend untimely called away ; 	b
353	And call a lovelier Life from Death, 	b
354	I breathed not but to send above 	b
355	That comforts me while thou art here, 	b
356	Palace and temple crown the glade. 	b
357	As one who mourns the dead. 	b
358	Why did the morning dawn to break 	b
359	And would not pass away ! 	b
360	Lament their absence drear ; 	b
361	Over my western beauty's grave, 	b
362	Patriot fathers' bloody tombs ; 	b
363	Would rather fight than rest. ' 	b
364	No ; that tree with branches riven 	b
365	And sleet and frozen gloom ? 	b
366	With my dear comrades young and gay, 	b
367	This very crowd is vacancy ; 	b
368	I chide with my soul I bid it cherish 	b
369	From bleak December's sky ? 	b
370	They deluge my heart like the rain 	b
371	Within its mossy cell. 	b
372	How gloomy grows the night ! Tis Gondal's 	b
373	But God is not like human kind, 	b
374	Shall meet our dearest, when we die ; 	b
375	Buried in moors and mountains wild, 	b
376	Defeat serenely borne, 	b
377	Which but because more broken gleams 	b
378	And visions rise, and change, that kill me with 	b
379	The tiny fountain, churning spray 	b
380	Saved thee from a deadlier thrall. 	b
381	Even where he yearns to be I 	b
382	From the fresh root of Eternity ! 	b
383	And I may sing and muse aloud, 	b
384	Their timid forms to guard from harm ; 	b
385	I love thee, boy, for all divine, 	b
386	From the dark marble to the sky, 	b
387	Sorrow passed, and plucked the golden blossom ; 	b
388	And hush that music's solemn sound, 	b
389	But, within its parent's kindly bosom, 	b
390	My love, altho' the very dead 	b
391	Without the veil between. 	b
392	Can friendship's flower droop for years 	b
393	Will forsake thy memory, 	b
394	All mist and tempest free? 	b
395	And, behold ! with tenfold increase blessing, 	b
396	Spring adorned the beauty-burdened spray ; 	b
397	The moonbeams softly shine. 	b
398	For many a week and many a day 	b
399	The waveless ocean of repose. 	b
400	Than Native's heaven can pour. 	b
401	Down through that ocean's gloomy night ; 	b
402	Cruel Death ! The young leaves droop and 	b
403	When flowers were closed and day was o'er 	b
404	No ! the morning sunshine mocks my anguish 	b
405	The thrilling shouts of fighting men, 	b
406	She was cruel in her fear ; 	b
407	Was only sullen there ! 	b
408	If our vessels sailed adverse on life's stormy main. 	b
409	AT CASTLE WOOD 	b
410	But as in fit of peevish woe, 	b
411	'Cumber the spirit that would soar 	b
412	The outward tumult seemed to assuage 	b
413	Out to the park this dreary day, 	b
414	She turns from heaven a tearless eye 	b
415	Even weeping o'er that wretch's woe ; 	b
416	And mingled with a foreign mould. 	b
417	One sign of sympathising woe, 	b
418	A snowy brow in ringlets small, 	b
419	Till at last, all old links broken, 	b
420	Vain as thou wert, and weak as vain, 	b
421	Make answer far and near. 	b
422	And this is just the joyous hour 	b
423	Thy soul is powerless over mine.' 	b
424	She would not, in her tranquil sleep, 	b
425	She thought when that confession crossed 	b
426	Do I despise the timid deer, 	b
427	Chain and bar and dungeon wall 	b
428	And heaven itself, so pure and blest, 	b
429	And still entreated him to stay. 	b
430	And he was once an ardent boy ; 	b
431	I saw His wisdom and His power 	b
432	And nothing in the twilight sky 	b
433	How can I rouse my sinking soul 	b
434	Say, ' Earth, lie lightly on that breast, 	b
435	Tortured Gondal's liberty ! 	b
436	The wind blew from the sea. 	b
437	But the joy of life was flown 	b
438	And every window glistens bright 	b
439	With leaves of frozen dew. 	b
440	O look again, for still on high 	b
441	And lights your room like day ; 	b
442	Bright be thine eyes, undimmed their dazzling 	b
443	We thought, t When winter comes again. 	b
444	Ere I would call its glories mine ; 	b
445	Its root has felt a worm, 	b
446	Why dost thou repeat again 	b
447	Till those dark orbs o'erflowing fast 	b
448	4 Listen ! I Ve known a burning heart, 	b
449	' Edward, awake, awake 	b
450	And every time its measured call 	b
451	A thousand forms, a fearful gloom ; 	b
452	Or gleams the sun amongst the mists of care? 	b
453	' When tempests roar on the lonely shore 	b
454	The aimless, heedless carelessness 	b
455	His red heart's blood drenched my dagger ; 	b
456	The music of the Sabbath bell. 	b
457	The sunshine of a summer's sun 	b
458	My cold heart, underneath my hand, 	b
459	Or wakes the breeze in the swaying trees 	b
460	THE day is done, the winter sun 	b
461	The heart is dead in infancy, 	b
462	To hide the streaming tear. 	b
463	Nor marked how from his own young 	b
464	To-morrow, Scorn will blight my name, 	b
465	Thus poured she in that cavern wild 	b
466	Will load me with a coward's shame 	b
467	'Twas thus I thought, an hour ago, 	b
468	And at each belt a weapon dire, 	b
469	Too heavenly now, but doomed to be, 	b
470	I cannot find a haven. 	b
471	When thy heart bounds ardently, 	b
472	His followers went out with Jubilee, 	b
473	Their dust is mingled with the sod, 	b
474	Should cause such bitter woe? 	b
475	Sad thoughts rose in my mind. 	b
476	For, who forgives the accursed crime 	b
477	The violet's eye might shyly flash, 	b
478	OH, thy bright eyes must answer now, 	b
479	Thy presence waked a thrilling tone 	b
480	Where can the weary lay his head, 	b
481	There have been times when this was drear, 	b
482	But, traitor, traitor, from that word 	b
483	All true breasts shrink away ! 	b
484	The spirit above my couch was bending. 	b
485	A slave, because I rule thee still ; 	b
486	As I can hear the ocean's fall 	b
487	My honour's name to spare ! 	b
488	And earth seemed such an alien home 	b
489	* What seek you now on this bleak moor brow, 	b
490	A sound of music reached my ear : 	b
491	And there you pass, in happy dreams, 	b
492	Sternly denied its burning wish to hasten 	b
493	Into hopeless, endless mourning. 	b
494	All those disturbed waves decrease 	b
495	Stern duty stores for me. 	b
496	Every leaf speaks bliss to me, 	b
497	That thou didst visit me? 	b
498	Though it roar in thunder wild, 	b
499	Tears have left ghastly traces there, 	b
500	I AM the only being whose doom 	b
501	And doubly will the dark world grieve me, 	b
502	Fast asleep and almost dying, 	b
503	Are brushing off the scented dew, 	b
504	Must always end in gloom ; 	b
505	Midnight moonlight's holy shrine. 	b
506	It closes with a tomb ! 	b
507	From thought of grief are free. 	b
508	Danger, and guilt, and darkness lie, 	b
509	Weary to watch the spirit languish 	b
510	Through years of dead despair. 	b
511	So, if a tear, when thou art dying, 	b
512	Since I beheld another dwelling. 	b
513	When I am not, and none beside, 	b
514	For wild those gusts, and well their chimes 	b
515	That cold departure pictures mine. 	b
516	My deadliest pains might die ; 	b
517	False she was, and unrelenting ; 	b
518	Seems it not that eve's declining 	b
519	Of dastard treachery ? 	b
520	Though comet-like its course was run ; 	b
521	As wise, to mourn the seed which grew 	b
522	Upon her dying mind, 	b
523	Its gentle ray cannot control 	b
524	It comes at last to cancel time, 	b
525	Which since this morn laid many low ; 	b
526	Around me, wretches uttering praise, 	b
527	Or howling o'er their hopeless days, 	b
528	It breathed from its heart invisible. 	b
529	A brotherhood of misery, 	b
530	That it quenches e'en now the vital spark, 	b
531	Whose madness daily maddened me, 	b
532	Arouse thee from thy dreams I 	b
533	Escape earth's dungeon tomb ? 	b
534	But only give me back my tears, 	b
535	What seems the vilest, even like thine 	b
536	As if to invite the smiling skies ; 	b
537	Of seraph's song, and demon's moan ; 	b
538	In concord with her reddening cheek. 	b
539	As sculptured marble saint, or slumbering un- 	b
540	And far away in woody dell 	b
541	I stole away from crowds and light 	b
542	There like a wild beast turns he back, 	b
543	Lavished glory on that second May ! 	b
544	The mortal strife that then befell ; 	b
545	And yet a little longer speak, 	b
546	4 Yet moved she not ; she only raised 	b
547	An earnest grief a strong desire 	b
548	The city's murmur softly blends 	b
549	That we must long till life be done ; 	b
550	As thick as morning's tears ; 	b
551	That heaven which my sweet lover's brow 	b
552	His frequent sighs, long-drawn and deep, 	b
553	And Love I laugh to scorn ; 	b
554	Could I have seen my country smile ? 	b
555	A hundred fights for them ! 	b
556	Little moss-rose, cease to weep, 	b
557	Their cruel strife may close ; 	b
558	Will tread its labyrinths alone. 	b
559	Oh, thy sweet tongue must plead for me 	b
560	Yes, as my swift days near their goal, 	b
561	'Tis all that I implore ; 	b
562	In life and death a chainless soul, 	b
563	And oh ! above the best of those 	b
564	If ranks beneath the cannon fall, 	b
565	I repent not that which my hand has done 	b
566	And I can sing and I can smile, 	b
567	Alike, while I have holiday. 	b
568	Where wilt thou go, my harassed heart 	b
569	To aid a spirit lost in crime, 	b
570	What spot, or near or far apart, 	b
571	Lights me till my life is done ; 	b
572	There is a spot, 'mid barren hills, 	b
573	And high its arched windows rise, 	b
574	The last full cup of triumph drink, 	b
575	Nor yet the ocean's wave. 	b
576	Bring good in rising, leave peace in decline, 	b
577	Sighed at first, but sighed not long ; 	b
578	Grows as green in April rain, 	b
579	One glance revealed how little care 	b
580	The mute bird sitting on the stone, 	b
581	I was not tired, my darling one, 	b
582	I saw to-day my enemy. 	b
583	For ever present to my eye, 	b
584	My worn heart throbs so wildly 	b
585	The alien firelight died away ; 	b
586	And seen in mist and moonlit stone, 	b
587	I am speaking of a later stroke, 	b
588	But mine sank sad and low ! 	b
589	And all do homage to their will, 	b
590	A distant, dreamy, dim blue chain 	b
591	And when I laughed they all replied ; 	b
592	'Till the dread burst breaks forth once more 	b
593	So sweet, so soft, so hushed an air ; 	b
594	And as blithely as of yore 	b
595	When the pen that motto drew. 	b
596	But long lies the dew on its crimson leaves, 	b
597	Up rose he, and stretched forth his hand, 	b
598	And revelled in my changeful dreams, 	b
599	Marked out the tracks of wandering sheep. 	b
600	Of each dark night and dim, beclouded day. 	b
601	I gazed within thine earnest eyes 	b
602	Brought to earth the fluttering game : 	b
603	Restraint and heavy task recoil. 	b
604	The vault, whose grated eye showed heaven more 	b
605	Who spend too soon their youthful day. 	b
606	The common paths that others run ; 	b
607	That centre all the joys of years. 	b
608	That waves in summer air : 	b
609	Wears not a cloud that speaks of gloom. 	b
610	To soothe my spirit's care. 	b
611	From morning's faintest dawning 	b
612	Begilt with tasselled cords of gold, 	b
613	Wilt thou prove faithless now ? 	b
614	I 'd fling the brand in the hissing sea, 	b
615	So often to the unopened door? 	b
616	Have sought one gleam of mercy there ! 	b
617	Across the mountain stream. 	b
618	A few years of captivity, 	b
619	And ice upon the glancing stream 	b
620	You 've tracked me to a lonely spot. 	b
621	Earth's wilderness was round me spread, 	b
622	And night obscure his way ; 	b
623	Mysterious it rose from the billowy moor. 	b
624	Because they have no stay but thine. 	b
625	With thunder volleys rolling on before 	b
626	The sting of anguish drear/ 	b
627	Re-echo back again. 	b
628	'Tis better far away ; 	b
629	They who have been our life, our soul, 	b
630	Geraldine, wilt thou delay? 	b
631	For, oh ! when chill the sunbeams fall 	b
632	My soul, another love. 	b
633	Following the bend of Aspin's side, 	b
634	But, if there be a God above, 	b
635	The whole devoured and lost in death ! 	b
636	Ere evening far away. 	b
637	I could think in the withered grass 	b
638	The loving spirit lingers long, 	b
639	I turned me from that young saint's bed 	b
640	Through th' autumnal sky ; 	b
641	I watch this cloudy evening fall, 	b
642	For whom his spirit unforgiven 	b
643	Sweet voices in the halls resound, 	b
644	Did my exiled spirit grieve. 	b
645	O no, it was not this ! 	b
646	'Tis the last line of the woeful song ; 	b
647	My tortured limbs in dungeons bind, 	b
648	' It was spring, and the skylark was singing * ; 	b
649	With a solemn, plaintive sound. 	b
650	And waken unavailing tears. 	b
651	Nor absence, nor distance can quell. 	b
652	And lonely I am pining, 	b
653	They uttered the music of May ; 	b
654	Far less when evening's pensive hour 	b
655	To that deep and swelling river 	b
656	While thy heart suffers there. 	b
657	And there were garments spread, 	b
658	No ten can deal such deadly misery 	b
659	To walk by the hill-torrent's side ! 	b
660	It is swelled with the first snowy weather ; 	b
661	The rocks they are icy and hoar, 	b
662	Arthur, brother, we returned 	b
663	Fierce grew Rosina's gloomy gaze ; 	b
664	There are no yellow stars on the mountain ; 	b
665	'Tis here 'tis there, 'tis nowhere oh ! my soul, 	b
666	Gaze not so earnestly upon 	b
667	Leagues on leagues are left behind 	b
668	But lovelier than corn-fields all waving 	b
669	All thy cold and scornful pride, 	b
670	My spirit drank a mingled tone, 	b
671	I would have dreary weather, 	b
672	'Tis thus that human minds will turn, 	b
673	And envied such despair. 	b
674	I paused, confounded and distracted, 	b
675	A lip of cruel scorn ; 	b
676	To where those signal lights are burning, 	b
677	And swift were the wings to our feet given, 	b
678	Their brows are unshadowed, undimmed by woe. 	b
679	What sudden power the fancy hath 	b
680	That vision of a mighty host 	b
681	And this shall be my dream to-night ; 	b
682	I shall be a dream to thee. 	b
683	For the moors, where the linnet was trilling 	b
684	My present entity ! 	b
685	Within itself may tell ! 	b
686	And fair it budded day by day 	b
687	His features in the wave. 	b
688	Yawned in the city's reeling wall, 	b
689	On the brow of a lonely hill kneeling, 	b
690	In my Redeemer's name 	b
691	And proud its mighty columns show 	b
692	It feels no sympathy 	b
693	I hurried down the dark oak stair ; 	b
694	When I was hardly six years old, 	b
695	But not the loved music, whose waking 	b
696	No fear of grief in her bright eyes should quiver ; 	b
697	In frozen mist arrayed. 	b
698	Sweet land of light ! Thy children fair 	b
699	A mutual immortality. 	b
700	And sprang up to a glorious birth 	b
701	Needst thou then dissemble sorrow, 	b
702	Those tears had been heaven to me. 	b
703	Well well ; the sad minutes are moving, 	b
704	Though loaded with trouble and pain ; 	b
705	And some time the loved and the loving 	b
706	Shall meet on the mountains again I 	b
707	How could I ask for pitying love, 	b
708	Thus to the man of sin he spoke : 	b
709	ward votary, and to recall within his influence the proud mind 	b
710	And murmur, summer-streams 	b
711	Some nameless thing which hid not grace, 	b
712	She strikes it off with little care ; 	b
713	Shall nature cease to bow ? 	b
714	From such a lethargy ? 	b
715	Whose streets stretch round so ceaselessly. 	b
716	O do not think that God can leave, 	b
717	Subdued both grief and passion wild. 	b
718	Loud was the sudden gust of woe 	b
719	A burdened heart I bear, 	b
720	' Because, I hoped while they enjoyed, 	b
721	This shadow should night's welcome be ; 	b
722	When wounded he wins to the darkest wood, 	b
723	Sinks from the summer sky, 	b
724	To watch through all eternity, 	b
725	And then a captive's tomb. 	b
726	My ear drank his dying sigh. 	b
727	But check those coward sobs, and bring 	b
728	And keep it still divine 	b
729	Though burning thoughts that spurn control, 	b
730	That thy dear blood was poured in vain.' 	b
731	Then art thou not my golden June, 	b
732	Yet few would ask a heaven 	b
733	More like this earth than thine. 	b
734	Then let my winds caress thee ; 	b
735	But what will winter bring? 	b
736	Must first be utterly forgot. 	b
737	And earthly change from pain to pain, 	b
738	HERE again is the same mind in converse with a like 	b
739	Rank, beauty, wealth, and power combine 	b
740	Halos ! O far too bright to shine 	b
741	The opening sea seemed smooth at last ; 	b
742	A cloudless moon shone through 	b
743	* Nay, rather, Gondal's shaken throne 	b
744	* Douglas, he pleaded bitterly, 	b
745	I need not sink beneath my woes ; 	b
746	And yet, through every magic change, 	b
747	The young and aged tree, 	b
748	Her forehead, drooped like lily pale. 	b
749	I needed not its breathing 	b
750	Her children are rank and her kingdom's spread far. 	b
751	For him no tear his stern eye shed 	b
752	How dark the woods will be ! 	b
753	4 The thick leaves in my murmur 	b
754	It breaks upon the awful roar 	b
755	The time of grace is past, 	b
756	' Well, since it must be told, Lady, 	b
757	Thy perished faith shall spring to life, 	b
758	The ringlets of his long black hair 	b
759	Over the Eden of his soul ; 	b
760	Love, and its own life, had power to keep it 	b
761	All round the hot and glaring sky 	b
762	That dearest boon was given ; 	b
763	In their own course to flow.' 	b
